Feature			Request					Folder\File
RestServlet		restServletRequest			\RestServlet\Fmt\Sync\Flags\flag_draft
RestServlet		restServletRequest			\RestServlet\Fmt\Sync\Flags\flag_flagged
RestServlet		restServletRequest			\RestServlet\Fmt\Sync\Flags\flag_forwarded
RestServlet		restServletRequest			\RestServlet\Fmt\Sync\Flags\flag_replied
RestServlet		restServletRequest			\RestServlet\Fmt\Sync\Flags\flag_sent
RestServlet		restServletRequest			\RestServlet\Fmt\Sync\Flags\flag_unread
RestServlet		restServletRequest			\RestServlet\Fmt\Sync\Modified\sync_modified
RestServlet		restServletRequest			\RestServlet\Fmt\Sync\Received\sync_received
RestServlet		restServletRequest			\RestServlet\Fmt\Sync\Tags\sync_tag
RestServlet		restServletRequest			\RestServlet\Fmt\vcf\contact_vcf
RestServlet		restServletRequest			\RestServlet\Mail\rest_message
RestServlet		lmtpInjectRequest			\RestServlet\Mail\rest_uuencode
RestServlet		restServletRequest			\RestServlet\Mail\rest_blockedAttachments
RestServlet		ModifyConfigRequest			\RestServlet\Mail\rest_blockedAttachments
RestServlet		restServletRequest			\RestServlet\Mail\Post\basic
RestServlet		restServletRequest			\RestServlet\Mail\Part\part_basic
RestServlet		restServletRequest			\RestServlet\Query\query_message
RestServlet		restServletRequest			\RestServlet\Sharing\permissions_GranteeType
RestServlet		restServletRequest			\RestServlet\Sharing\permissions_guest
RestServlet		restServletRequest			\RestServlet\Sync\sync_basic
RestServlet		restServletRequest			\RestServlet\User\rest_user
RestServlet		restServletRequest			\RestServlet\View\html\part_viewAsHTML

UploadServlet		uploadServletRequest			\UploadServlet\Mail\us_message
UploadServlet		uploadServletRequest			\UploadServlet\Mail\us_uploadServlet
UploadServlet		uploadServletRequest			\UploadServlet\Mail\us_attachments

LOOPS			CreateContactRequest			\Loops\Loop_MailClient\Contacts\contact_loop
LOOPS			GetInfoRequest				\Loops\Loop_MailClient\Contacts\contact_loop
LOOPS			ContactActionRequest			\Loops\Loop_MailClient\Contacts\contact_loop
LOOPS			CreateFolderRequest			\Loops\Loop_MailClient\Folders\folder_loop
LOOPS			GetFolderRequest			\Loops\Loop_MailClient\Folders\folder_loop
LOOPS			CreateFolderRequest			\Loops\Loop_MailClient\Folders\folder_nested
LOOPS			GetFolderRequest			\Loops\Loop_MailClient\Folders\folder_nested
LOOPS			CreateSearchFolderRequest		\Loops\Loop_MailClient\Folders\searchfolder_loop
LOOPS			GetSearchFolderRequest			\Loops\Loop_MailClient\Folders\searchfolder_loop
LOOPS			SendMsgRequest				\Loops\Loop_MailClient\Mails\conversation_loop
LOOPS			SendMsgRequest				\Loops\Loop_MailClient\Mails\conversation_loop2
LOOPS			MsgActionRequest			\Loops\Loop_MailClient\Mails\message_delete
LOOPS			SendMsgRequest				\Loops\Loop_MailClient\Mails\message_loop
LOOPS			CreateTagRequest			\Loops\Loop_MailClient\Tags\tags_loop

BACKUP								\MailClient\Filters\BackupRequest
BACKUP								\MailClient\Calendar\BackupRequest
BACKUP								\MailClient\Contacts\BackupRequest
BACKUP								\MailClient\Conversation\BackupRequest
BACKUP								\MailClient\Folders\BackupRequest
BACKUP								\MailClient\Folders\Sharing\BackupRequest
BACKUP								\MailClient\Folders\Mountpoints\BackupRequest
BACKUP								\MailClient\Passwd\BackupRequest
BACKUP								\MailClient\Prefs\BackupRequest
BACKUP								\MailClient\Search\Attach\BackupRequest
BACKUP								\MailClient\Search\Flag\BackupRequest
BACKUP								\MailClient\Search\Read\BackupRequest
BACKUP								\MailClient\Search\Reply_Forward\BackupRequest
BACKUP								\MailClient\Search\Tag\BackupRequest
BACKUP								\MailClient\Tags\BackupRequest
BACKUP								\MailClient\Wiki\BackupRequest
BACKUP								\MailClient\Tasks\BackupRequest

TASKS			CreateTaskRequest			\MailClient\Tasks\create_tasks
TASKS			ModifyTaskRequest			\MailClient\Tasks\modify_tasks
TASKS			CancelTaskRequest			\MailClient\Tasks\cancel_tasks
TASKS			GetTaskRequest			\MailClient\Tasks\get_tasks
TASKS			CreateTaskRequest			\MailClient\Tasks\SendingTasks\SendTaskBasic

DATASOURCE	CreateDataSourceRequest	\MailClient\DataSource\DataSource_create
DATASOURCE	ModifyDataSourceRequest	\MailClient\DataSource\DataSource_modify
DATASOURCE	DeleteDataSourceRequest	\MailClient\DataSource\DataSource_delete
 
IDENTITIES		CreateIdentityRequest		\MailClient\DataSource\create_identity
IDENTITIES		CreateIdentityRequest		\MailClient\DataSource\delete_identity
IDENTITIES		CreateIdentityRequest		\MailClient\DataSource\get_identity
IDENTITIES		CreateIdentityRequest		\MailClient\DataSource\modify_identity

